extent,cluster_id,start_date,end_date,heatwave_start,heatwave_end,time_range,lat_range,lon_range,heatwave_length,month,year,spatial_extent
"{'time_range': (50, 54), 'lat_range': (35.859375, 50.625), 'lon_range': (-8.421052631578968, 7.017543859649096), 'heatwave_length': 5}",1,1940-02-20,1940-02-24,50,54,"(50, 54)","(35.859375, 50.625)","(-8.421052631578968, 7.017543859649096)",5,2,1940,2057853.0
"{'time_range': (71, 73), 'lat_range': (53.4375, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 3}",5,1940-03-13,1940-03-15,71,73,"(71, 73)","(53.4375, 54.84375)","(-9.824561403508792, -7.719298245614056)",3,3,1940,21491.0
"{'time_range': (75, 82), 'lat_range': (36.5625, 52.734375), 'lon_range': (-9.824561403508792, 9.824561403508744), 'heatwave_length': 8}",6,1940-03-17,1940-03-24,75,82,"(75, 82)","(36.5625, 52.734375)","(-9.824561403508792, 9.824561403508744)",8,3,1940,2801454.0
"{'time_range': (77, 84), 'lat_range': (43.59375, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 8}",7,1940-03-19,1940-03-26,77,84,"(77, 84)","(43.59375, 54.84375)","(-9.824561403508792, -7.719298245614056)",8,3,1940,191705.0
"{'time_range': (83, 85), 'lat_range': (54.84375, 54.84375), 'lon_range': (-4.2105263157894965, -0.7017543859649364), 'heatwave_length': 3}",9,1940-03-25,1940-03-27,83,85,"(83, 85)","(54.84375, 54.84375)","(-4.2105263157894965, -0.7017543859649364)",3,3,1940,0.0
"{'time_range': (110, 114), 'lat_range': (40.078125, 54.84375), 'lon_range': (-4.2105263157894965, 9.824561403508744), 'heatwave_length': 5}",10,1940-04-21,1940-04-25,110,114,"(110, 114)","(40.078125, 54.84375)","(-4.2105263157894965, 9.824561403508744)",5,4,1940,1736279.0
"{'time_range': (144, 149), 'lat_range': (39.375, 54.84375), 'lon_range': (-9.824561403508792, 9.824561403508744), 'heatwave_length': 6}",12,1940-05-25,1940-05-30,144,149,"(144, 149)","(39.375, 54.84375)","(-9.824561403508792, 9.824561403508744)",6,5,1940,2563524.0
"{'time_range': (146, 149), 'lat_range': (43.59375, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 4}",13,1940-05-27,1940-05-30,146,149,"(146, 149)","(43.59375, 54.84375)","(-9.824561403508792, -7.719298245614056)",4,5,1940,191705.0
"{'time_range': (151, 154), 'lat_range': (35.859375, 42.1875), 'lon_range': (-7.719298245614056, -1.4035087719298485), 'heatwave_length': 4}",14,1940-06-01,1940-06-04,151,154,"(151, 154)","(35.859375, 42.1875)","(-7.719298245614056, -1.4035087719298485)",4,6,1940,384776.0
"{'time_range': (152, 158), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.017543859649096, 9.824561403508744), 'heatwave_length': 7}",15,1940-06-02,1940-06-08,152,158,"(152, 158)","(35.15625, 38.671875)","(7.017543859649096, 9.824561403508744)",7,6,1940,97776.0
"{'time_range': (153, 161), 'lat_range': (40.078125, 54.84375), 'lon_range': (-1.4035087719298485, 9.824561403508744), 'heatwave_length': 9}",16,1940-06-03,1940-06-11,153,161,"(153, 161)","(40.078125, 54.84375)","(-1.4035087719298485, 9.824561403508744)",9,6,1940,1389024.0
"{'time_range': (167, 171), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.017543859649096, 9.122807017543831), 'heatwave_length': 5}",17,1940-06-17,1940-06-21,167,171,"(167, 171)","(35.15625, 38.671875)","(7.017543859649096, 9.122807017543831)",5,6,1940,73332.0
"{'time_range': (194, 196), 'lat_range': (46.40625, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 3}",19,1940-07-14,1940-07-16,194,196,"(194, 196)","(46.40625, 54.84375)","(-9.824561403508792, -7.719298245614056)",3,7,1940,139645.0
"{'time_range': (199, 202), 'lat_range': (43.59375, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 4}",20,1940-07-19,1940-07-22,199,202,"(199, 202)","(43.59375, 54.84375)","(-9.824561403508792, -7.719298245614056)",4,7,1940,191705.0
